subj	date	Experiment	SessionTime	level	Procedure	Grid1.OnsetTime	Delay.OnsetTime	Target.OnsetTime	Delay_time	ITI	Load	Block	Cue1_img	Cue2_img	Cue3_img	Target_img	Target.RT	Target.RTTime	Target.ACC	Match
10370	20130315	1_A	11:34:35	2	 cueDelayProbe	 506331	 507831	 512348	 4500	 1000	 low		 Cue5.JPG	 Cue5.JPG	 Cue5.JPG	 Target1357.JPG	 1076	 513424	 1	 yes
10370	20130315	1_A	11:34:35	2	 cueDelayProbe	 515864	 517364	 520364	 3000	 1000	 high		 Cue8.JPG	 Cue6.JPG	 Cue2.JPG	 Target1358.JPG	 0	 0	 0	 yes
10370	20130315	1_A	11:34:35	2	 cueDelayProbe	 523864	 525364	 529863	 4500	 2000	 high		 Cue1.JPG	 Cue4.JPG	 Cue7.JPG	 Target2368.JPG	 1101	 530964	 1	 no
10370	20130315	1_A	11:34:35	2	 cue	 534380			 NA	 4000	 high		 Cue3.JPG	 Cue7.JPG	 Cue6.JPG	 NA				 NA
10370	20130315	1_A	11:34:35	2	 cueDelay	 539880	 541380		 4500	 2000	 low		 Cue3.JPG	 Cue3.JPG	 Cue3.JPG	 NA				 NA
10370	20130315	1_A	11:34:35	2	 cueDelay	 547879	 549379		 1500	 4000	 high		 Cue5.JPG	 Cue1.JPG	 Cue8.JPG	 NA				 NA
10370	20130315	1_A	11:34:35	2	 cue	 554879			 NA	 16000	 low		 Cue8.JPG	 Cue8.JPG	 Cue8.JPG	 NA				 NA
10370	20130315	1_A	11:34:35	2	 cueDelayProbe	 572378	 573878	 576894	 3000	 1000	 low		 Cue3.JPG	 Cue3.JPG	 Cue3.JPG	 Target2368.JPG	 1056	 577950	 1	 yes
10370	20130315	1_A	11:34:35	2	 cueDelayProbe	 580411	 581911	 586427	 4500	 4000	 high		 Cue2.JPG	 Cue8.JPG	 Cue6.JPG	 Target1467.JPG	 1994	 588421	 1	 yes
10370	20130315	1_A	11:34:35	2	 cue	 592943			 NA	 1000	 high		 Cue8.JPG	 Cue4.JPG	 Cue1.JPG	 NA				 NA
10370	20130315	1_A	11:34:35	2	 cue	 595443			 NA	 2000	 low		 Cue1.JPG	 Cue1.JPG	 Cue1.JPG	 NA				 NA
10370	20130315	1_A	11:34:35	2	 cueDelayProbe	 598943	 600443	 601960	 1500	 1000	 low		 Cue2.JPG	 Cue2.JPG	 Cue2.JPG	 Target1467.JPG	 1146	 603106	 1	 no
10370	20130315	1_A	11:34:35	2	 cueDelayProbe	 605476	 606976	 608476	 1500	 2000	 high		 Cue6.JPG	 Cue1.JPG	 Cue4.JPG	 Target2357.JPG	 1408	 609884	 1	 no
10370	20130315	1_A	11:34:35	2	 cueDelayProbe	 612992	 614492	 616009	 1500	 8000	 low		 Cue6.JPG	 Cue6.JPG	 Cue6.JPG	 Target1468.JPG	 867	 616876	 1	 yes
10370	20130315	1_A	11:34:35	2	 cueDelayProbe	 626525	 628025	 631041	 3000	 4000	 low		 Cue4.JPG	 Cue4.JPG	 Cue4.JPG	 Target1367.JPG	 1341	 632382	 1	 no
10616	20131023	1_A	16:21:08	2	 cueDelay	 93140	 94640		 1500	 1000	 low		 Cue5.JPG	 Cue5.JPG	 Cue5.JPG	 NA				 NA
10616	20131023	1_A	16:21:08	2	 cueDelayProbe	 97140	 98640	 100157	 1500	 1000	 high		 Cue3.JPG	 Cue6.JPG	 Cue2.JPG	 Target1468.JPG	 1110	 101267	 1	 yes
10616	20131023	1_A	16:21:08	2	 cueDelayProbe	 103673	 105173	 108207	 3000	 1000	 low		 Cue7.JPG	 Cue7.JPG	 Cue7.JPG	 Target2358.JPG	 825	 109032	 1	 no
10616	20131023	1_A	16:21:08	2	 cueDelayProbe	 111723	 113223	 116257	 3000	 8000	 high		 Cue3.JPG	 Cue6.JPG	 Cue7.JPG	 Target1457.JPG	 1169	 117426	 1	 yes
10616	20131023	1_A	16:21:08	2	 cueDelayProbe	 126774	 128274	 129790	 1500	 1000	 high		 Cue6.JPG	 Cue2.JPG	 Cue4.JPG	 Target1357.JPG	 1082	 130872	 1	 no
10616	20131023	1_A	16:21:08	2	 cueDelayProbe	 133307	 134807	 137824	 3000	 4000	 low		 Cue2.JPG	 Cue2.JPG	 Cue2.JPG	 Target2368.JPG	 1544	 139368	 1	 yes
10616	20131023	1_A	16:21:08	2	 cueDelayProbe	 144341	 145841	 147341	 1500	 2000	 low		 Cue4.JPG	 Cue4.JPG	 Cue4.JPG	 Target1457.JPG	 1039	 148380	 1	 yes
10616	20131023	1_A	16:21:08	2	 cueDelayProbe	 151858	 153358	 154891	 1500	 1000	 low		 Cue5.JPG	 Cue5.JPG	 Cue5.JPG	 Target2367.JPG	 898	 155789	 1	 no
10616	20131023	1_A	16:21:08	2	 cue	 158408			 NA	 1000	 high		 Cue5.JPG	 Cue2.JPG	 Cue3.JPG	 NA				 NA
10616	20131023	1_A	16:21:08	2	 cueDelayProbe	 160908	 162408	 163941	 1500	 1000	 low		 Cue8.JPG	 Cue8.JPG	 Cue8.JPG	 Target2357.JPG	 914	 164855	 1	 no
10616	20131023	1_A	16:21:08	2	 cue	 167458			 NA	 1000	 low		 Cue6.JPG	 Cue6.JPG	 Cue6.JPG	 NA				 NA
10616	20131023	1_A	16:21:08	2	 cueDelayProbe	 169958	 171458	 172991	 1500	 1000	 high		 Cue6.JPG	 Cue7.JPG	 Cue4.JPG	 Target1368.JPG	 1351	 174342	 1	 yes
10616	20131023	1_A	16:21:08	2	 cueDelay	 176508	 178008		 3000	 2000	 low		 Cue1.JPG	 Cue1.JPG	 Cue1.JPG	 NA				 NA
10616	20131023	1_A	16:21:08	2	 cueDelayProbe	 183008	 184508	 186025	 1500	 8000	 high		 Cue4.JPG	 Cue2.JPG	 Cue6.JPG	 Target1357.JPG	 898	 186923	 1	 no
10616	20131023	1_A	16:21:08	2	 cueDelay	 196542	 198042		 1500	 2000	 high		 Cue1.JPG	 Cue3.JPG	 Cue6.JPG	 NA				 NA
10616	20131023	1_A	16:21:08	2	 cueDelayProbe	 201542	 203042	 206075	 3000	 4000	 high		 Cue3.JPG	 Cue5.JPG	 Cue8.JPG	 Target1467.JPG	 1000	 207075	 1	 no
10616	20131023	1_A	16:21:08	2	 cue	 212592			 NA	 16000	 low		 Cue2.JPG	 Cue2.JPG	 Cue2.JPG	 NA				 NA
10616	20131023	1_A	16:21:08	2	 cue	 230093			 NA	 2000	 low		 Cue4.JPG	 Cue4.JPG	 Cue4.JPG	 NA				 NA
10616	20131023	1_A	16:21:08	2	 cueDelay	 233593	 235093		 3000	 8000	 high		 Cue4.JPG	 Cue2.JPG	 Cue5.JPG	 NA				 NA
10616	20131023	1_A	16:21:08	2	 cue	 246093			 NA	 2000	 high		 Cue1.JPG	 Cue4.JPG	 Cue5.JPG	 NA				 NA
10616	20131023	1_A	16:21:08	2	 cue	 249593			 NA	 1000	 high		 Cue6.JPG	 Cue1.JPG	 Cue8.JPG	 NA				 NA
10616	20131023	1_A	16:21:08	2	 cueDelay	 252093	 253593		 1500	 1000	 high		 Cue5.JPG	 Cue8.JPG	 Cue3.JPG	 NA				 NA
10616	20131023	1_A	16:21:08	2	 cueDelay	 256093	 257593		 1500	 1000	 low		 Cue7.JPG	 Cue7.JPG	 Cue7.JPG	 NA				 NA
10616	20131023	1_A	16:21:08	2	 cueDelayProbe	 260093	 261593	 263127	 1500	 1000	 high		 Cue4.JPG	 Cue8.JPG	 Cue6.JPG	 Target1358.JPG	 1585	 264712	 0	 yes
10616	20131023	1_A	16:21:08	2	 cueDelayProbe	 266643	 268143	 272660	 4500	 2000	 low		 Cue6.JPG	 Cue6.JPG	 Cue6.JPG	 Target1357.JPG	 975	 273635	 1	 no
10616	20131023	1_A	16:21:08	2	 cue	 277177			 NA	 1000	 low		 Cue3.JPG	 Cue3.JPG	 Cue3.JPG	 NA				 NA
